filepath,label,source
surprise/image0027442.jpg,fear,original
sad/image0027758.jpg,sad,original
sad/image0020564.jpg,sad,original
contempt/image0034245.jpg,neutral,original
neutral/ffhq_2935.png,contempt,original
fear/image0016136.jpg,disgust,original
surprise/image0025571.jpg,surprise,original
fear/image0036728.jpg,fear,original
surprise/image0014740.jpg,surprise,original
sad/image0018501.jpg,sad,original
augmented/neutral/aug_image0029553_disgust_to_neutral.jpg,neutral,augmented
happy/ffhq_42.png,contempt,original
disgust/image0040996.jpg,disgust,original
anger/image0028026.jpg,anger,original
anger/image0014792.jpg,anger,original
happy/ffhq_41.png,happy,original
augmented/contempt/aug_image0033474_surprise_to_contempt.jpg,contempt,augmented
contempt/image0037757.jpg,contempt,original
happy/ffhq_1731.png,happy,original
fear/image0040536.jpg,fear,original
sad/image0011918.jpg,sad,original
neutral/ffhq_1306.png,disgust,original
augmented/fear/aug_ffhq_2781_sad_to_fear.jpg,fear,augmented
happy/ffhq_4827.png,happy,original
disgust/image0041518.jpg,disgust,original
disgust/image0037321.jpg,fear,original
anger/image0001949.jpg,anger,original
anger/image0022631.jpg,anger,original
neutral/ffhq_1611.png,neutral,original
contempt/image0041814.jpg,contempt,original
neutral/ffhq_818.png,anger,original
happy/ffhq_1088.png,happy,original
fear/image0038953.jpg,surprise,original
augmented/contempt/aug_image0033372_fear_to_contempt.jpg,contempt,augmented
augmented/contempt/aug_ffhq_2029_happy_to_contempt.jpg,contempt,augmented
augmented/disgust/aug_image0019106_surprise_to_disgust.jpg,disgust,augmented
contempt/image0009152.jpg,contempt,original
sad/image0014050.jpg,sad,original
augmented/happy/aug_ffhq_2964_fear_to_happy.jpg,happy,augmented
surprise/image0034325.jpg,surprise,original
augmented/fear/aug_image0035616_disgust_to_fear.jpg,fear,augmented
contempt/image0016948.jpg,contempt,original
happy/ffhq_1461.png,happy,original
happy/ffhq_738.png,happy,original
happy/ffhq_3951.png,disgust,original
augmented/neutral/aug_image0041563_anger_to_neutral.jpg,neutral,augmented
disgust/image0033784.jpg,disgust,original
contempt/image0038178.jpg,neutral,original
disgust/image0038112.jpg,disgust,original
fear/image0033357.jpg,anger,original
surprise/image0032031.jpg,surprise,original
fear/image0040731.jpg,fear,original
augmented/happy/aug_image0001382_neutral_to_happy.jpg,happy,augmented
happy/ffhq_894.png,surprise,original
neutral/ffhq_1512.png,neutral,original
augmented/disgust/aug_image0005667_sad_to_disgust.jpg,disgust,augmented
augmented/happy/aug_image0020333_disgust_to_happy.jpg,happy,augmented
augmented/anger/aug_image0030036_neutral_to_anger.jpg,anger,augmented
contempt/image0036608.jpg,contempt,original
surprise/image0024527.jpg,surprise,original
anger/image0018722.jpg,neutral,original
surprise/image0030117.jpg,surprise,original
sad/image0026150.jpg,sad,original
happy/ffhq_3867.png,happy,original
fear/image0014548.jpg,fear,original
sad/image0019940.jpg,surprise,original
anger/image0015977.jpg,anger,original
happy/ffhq_2810.png,happy,original
augmented/fear/aug_ffhq_4411_neutral_to_fear.jpg,fear,augmented
surprise/image0018550.jpg,fear,original
fear/image0003474.jpg,fear,original
neutral/ffhq_1603.png,contempt,original
augmented/disgust/aug_image0029012_surprise_to_disgust.jpg,disgust,augmented
augmented/fear/aug_ffhq_5570_neutral_to_fear.jpg,fear,augmented
fear/image0035048.jpg,happy,original
surprise/image0030016.jpg,sad,original
neutral/ffhq_674.png,disgust,original
sad/image0024814.jpg,neutral,original
disgust/image0041311.jpg,disgust,original
happy/ffhq_838.png,happy,original
